Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
5.25,0.067,7.482,5.562,-4.756,0.244,-4.634
5.3,-0.613,6.96,5.382,-14.512,-0.427,-2.866
5.35,-0.05,6.622,5.543,-9.634,6.037,1.463
5.4,-0.067,6.998,6.151,-3.232,11.646,7.622
5.45,-0.752,7.266,6.132,-7.439,9.268,10.427
5.5,-0.663,6.871,6.943,-8.537,10.793,6.829
5.55,-1.001,6.522,6.546,-1.768,11.341,7.256
5.6,1.616,5.634,7.757,2.134,4.817,7.744
5.65,0.52,6.218,6.1,7.622,10.061,7.256
5.7,-0.266,6.874,7.312,5.122,12.378,7.683
5.75,1.269,5.839,6.517,6.524,12.927,14.39
5.8,-0.098,5.906,7.099,9.146,14.573,6.341
5.85,-0.661,5.926,6.737,9.695,9.207,4.146
5.9,1.475,7.458,6.929,15.732,7.073,-1.402
5.95,0.057,6.809,5.571,11.89,1.098,-3.415
6,-0.306,7.566,5.459,0.244,4.634,-0.671
6.05,0.175,7.197,5.854,-0.122,1.585,-2.683
6.1,-0.024,6.711,5.851,1.341,3.963,-0.793
6.15,0.175,7.274,5.883,0.61,2.073,-5.183
6.2,0.728,7.863,6.014,9.939,-1.341,-20.915
6.25,0.503,7.8,5.076,11.707,-22.988,-44.878
6.3,0.385,7.599,4.599,4.878,-28.11,-43.659
6.35,-0.661,8.334,3.144,-22.683,-41.89,-33.72
6.4,-0.649,7.975,5.562,-39.024,-59.39,-37.378
6.45,-1.075,8.406,0.836,-65.793,-65.122,-62.012
6.5,0.56,5.744,9.529,19.939,-29.634,-31.829
6.55,0.713,6.467,5.519,37.683,-16.463,-14.085
6.6,2.093,5.521,4.652,34.939,15,2.622
6.65,0.675,7.396,7.386,33.232,-5.854,-4.634
6.7,1.372,7.111,5.667,34.817,-14.39,-4.451
6.75,1.255,9.364,4.915,11.951,-2.561,-3.354
6.8,-0.134,6.95,4.951,22.256,3.78,-6.707
6.85,0.804,4.152,4.247,11.524,-0.305,-4.512
6.9,-1.046,8.765,5.066,3.598,1.22,1.585
6.95,0.034,7.621,4.305,-3.11,2.439,0.122
7,0.163,7.147,4.891,-2.927,2.744,-0.305
7.05,0.077,7.901,4.556,0.305,1.524,-3.293
7.1,-0.124,7.518,5.341,1.037,4.146,-1.89
7.15,0.342,7.472,4.956,-0.061,2.256,-2.256
7.2,0.752,7.343,5.188,0.732,2.561,-1.707
7.25,0.752,7.343,5.188,0.732,2.561,-1.707
7.3,0.527,8.416,5.126,-0.244,1.22,-1.037
7.35,0.682,7.719,4.779,-7.622,0.183,-2.622
7.4,1.633,8.708,5.301,-14.573,3.659,-1.707
7.45,0.457,7.257,5.385,-1.707,3.537,-15.366
7.5,-0.795,7.207,4.31,-4.512,-1.28,0.183
7.55,1.216,8.696,5.82,-1.707,3.293,15.122
7.6,0.395,8.691,4.492,-5.732,-2.195,-0.671
7.65,1.408,7.367,5.942,-0.976,1.89,-2.012
7.7,0.223,9.519,4.348,-2.866,4.39,-15.183
7.75,-0.637,7.721,4.379,-1.037,6.585,-2.256
7.8,2.107,8.267,3.967,-3.841,2.744,-1.89
7.85,0.625,7.896,4.307,-1.829,6.22,-3.171
7.9,1.46,7.412,4.875,-1.463,4.634,-1.159
7.95,0.321,7.954,5.485,-0.183,1.463,-3.11
8,0.177,7.666,5.444,0.549,1.28,-2.744
8.05,0.627,7.527,4.599,0.183,2.439,-2.256
8.1,0.967,7.705,5.107,-0.305,3.659,-2.317
8.15,0.306,7.786,5.454,-0.183,2.012,-2.073
8.2,0.618,8.066,5.073,-0.427,3.232,-2.256
8.25,0.611,8.521,4.614,-0.366,3.78,-1.28
8.3,0.455,7.7,4.796,6.951,4.268,-2.256
8.35,0.481,8.145,5.43,-7.439,2.683,-2.439
8.4,1.396,7.094,5.842,15.427,1.829,-3.963
8.45,-2.145,6.227,5.047,-0.854,1.341,-1.098
8.5,2.832,7.259,4.238,-14.573,1.829,-4.207
8.55,1.077,7.374,4.944,-1.341,2.256,-0.366
8.6,0.601,7.415,4.523,-1.585,3.171,-1.28
8.65,-0.146,7.393,4.511,1.951,2.927,-2.439
8.7,1.563,6.436,4.659,2.195,3.415,-1.89
8.75,0.189,7.642,5.193,-0.183,3.415,-2.195
8.8,0.045,7.405,5.016,14.695,2.439,-2.5
8.85,0.318,7.7,5.519,-0.305,2.622,-1.951
8.9,0.158,7.992,5.059,0.427,3.963,-2.317
8.95,0.74,10.81,4.211,-20.61,1.89,-4.878
