Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
5.2,0.141,9.488,-3.182,1.402,-8.171,12.256
5.25,0.074,9.505,-3.199,10.244,-4.634,6.037
5.3,-0.484,9.431,-3.12,9.817,-4.756,13.72
5.35,1.334,8.911,-3.373,6.829,1.951,-1.463
5.4,1.001,10.022,-3.792,5.061,7.012,4.695
5.45,0.366,9.998,-3.828,-2.012,-0.915,-9.024
5.5,-0.201,10.345,-3.512,-8.841,1.159,0.366
5.55,-0.769,9.582,-2.95,-7.439,1.28,1.159
5.6,0.601,9.481,-2.856,0.366,1.28,-15.61
5.65,0.888,10.266,-2.409,2.622,2.866,-1.463
5.7,0.055,9.744,-3.316,10.61,1.89,-7.866
5.75,1.094,10.168,-3.821,8.72,1.585,-5.244
5.8,0.089,9.151,-3.63,3.902,17.805,-4.939
5.85,0.347,9.517,-3.644,1.646,18.293,-8.354
5.9,0.405,9.285,-3.622,-3.476,11.768,-3.293
5.95,0.196,9.953,-3.675,-4.512,9.939,-4.573
6,-0.421,9.895,-3.065,-0.549,9.39,0.915
6.05,0.637,9.637,-2.871,-14.634,7.744,-0.061
6.1,0.326,9.421,-3.579,1.524,5.244,-1.22
6.15,0.093,9.242,-3.692,1.768,4.146,-5.488
6.2,0.354,9.828,-4.087,15.488,11.951,-1.098
6.25,-1.36,9.385,-4.343,-2.622,2.622,8.598
6.3,-1.326,10.364,-3.78,-6.951,-0.793,0.61
6.35,1.271,9.912,-3.263,-8.354,3.841,-9.024
6.4,-0.934,8.033,-4.085,-15.549,0.488,5.549
6.45,-0.91,9.258,-3.8,-0.549,1.098,-0.732
6.5,0.048,10.226,-2.677,2.744,-0.305,-6.646
6.55,0.014,9.096,-3.077,4.085,-1.098,-4.695
6.6,1.322,10.214,-3.57,-1.768,1.89,-6.037
6.65,-0.381,9.495,-4.396,-5.183,3.049,-6.402
6.7,0.457,10.436,-2.823,-7.5,-1.098,-4.817
6.75,1.994,10.111,-3.165,-2.5,13.049,-7.256
6.8,-0.158,9.354,-2.727,-15,4.024,-5.732
6.85,-0.848,10.364,-2.837,1.585,-4.695,-4.085
6.9,0.697,9.483,-2.921,5.61,-5,-0.549
6.95,0.618,8.878,-4.183,4.634,-5.122,-4.024
7,-1.061,9.934,-3.225,0.549,-5.854,6.159
7.05,-1.484,10.527,-2.868,14.817,-10.549,15.366
7.1,0.067,10.235,-3.306,15.122,-10.122,12.439
7.15,-0.412,9.823,-3.306,-15.488,-7.622,8.841
7.2,-0.845,9.974,-2.557,1.28,-4.207,8.72
7.25,0.967,9.625,-3.177,4.817,-4.939,2.134
7.3,2.054,10.271,-3.651,1.646,6.829,-7.866
7.35,-0.084,9.584,-4.532,-1.646,1.341,-1.098
7.4,0.589,10.683,-3.668,-3.232,2.744,-0.427
7.45,0.781,9.21,-2.873,-2.683,2.317,-2.073
7.5,0.029,9.948,-2.94,0.732,2.317,-10.61
7.55,1.14,9.421,-3.1,7.012,7.439,-6.585
7.6,0.247,10.144,-3.675,6.098,12.866,-3.476
7.65,0.539,9.543,-3.735,5.976,8.902,-6.707
7.7,-0.421,9.663,-3.575,-0.915,7.561,-1.646
7.75,0.479,9.804,-3.934,-1.28,7.744,3.293
7.8,0.472,9.419,-3.783,-1.524,5.976,-1.098
7.85,0.151,10.221,-2.617,-3.232,-0.366,-0.915
7.9,-0.405,9.869,-3.634,-1.463,15.122,2.866
7.95,-0.105,8.768,-3.45,-1.463,0.61,-3.78
8,1.154,9.752,-2.782,0.183,1.89,-0.183
8.05,0.725,10.053,-3.608,-1.585,-1.585,-0.366
8.1,-1.82,9.345,-3.002,-2.5,-2.5,16.463
8.15,-2.495,9.996,-3.306,-5.549,-5.976,-4.817
8.2,-0.591,11.36,-3.584,-10,4.817,-1.524
8.25,-0.151,10.63,-3.412,-11.524,2.073,3.598
8.3,1.516,9.778,-3.575,-9.207,2.5,-6.037
8.35,-0.417,9.562,-2.521,-4.939,1.646,-1.707
8.4,-0.263,9.89,-2.559,-1.89,1.585,-1.951
8.45,-1.678,11.016,-2.435,1.707,3.293,-10
8.5,0.517,9.768,-3.701,2.927,1.89,-5.854
8.55,0.953,9.541,-3.481,-0.305,1.463,-5.671
8.6,0.067,9.316,-2.892,-4.39,-3.659,-5.366
8.65,-0.57,10.111,-2.195,-3.963,0.976,-5.244
8.7,-1.64,11.485,-3.227,3.476,1.098,-5.976
8.75,1.082,10.372,-4.187,1.829,0.915,-4.939
8.8,-2.057,11.7,-3.014,1.402,-1.098,-1.707
8.85,-0.053,8.868,-3.414,2.561,-10.427,4.512
8.9,-0.156,10.989,-3.115,8.11,-5.854,-2.256
8.95,-0.637,10.563,-2.339,3.72,-0.915,1.951
9,-0.864,11.032,-3.481,4.512,-6.707,5.427
9.05,0.034,10.022,-3.05,4.207,-4.878,2.683
9.1,0.067,10.681,-3.182,6.524,-5.244,7.866
9.15,0.376,10.206,-3.156,7.195,-7.5,11.585
9.2,1.635,10.439,-3.208,3.232,4.634,1.341
9.25,0.491,10.434,-3.819,7.195,5.061,-7.805
9.3,0.12,8.935,-3.766,-0.671,1.524,-1.098
9.35,1.137,9.886,-3.752,-5.427,3.598,0.549
9.4,0.584,10.077,-2.998,-2.988,1.341,-3.049
9.45,-0.129,9.718,-2.89,-1.28,1.22,-1.22
9.5,0.702,9.175,-2.825,3.293,4.207,-0.732
9.55,-0.055,9.706,-2.476,4.39,1.159,-0.122
9.6,0.922,8.72,-3.457,5.61,4.878,-6.037
9.65,0.34,9.78,-3.539,8.841,0.061,-8.78
9.7,0.441,10.082,-3.668,3.537,20,-4.146
9.75,0.359,9.699,-4.099,1.829,21.341,-7.561
9.8,0.338,9.141,-3.239,-4.512,24.39,-3.232
9.85,0.572,9.426,-3.78,-3.11,25.244,-4.756
9.9,0.883,10.235,-3.254,-2.5,22.927,-3.049
9.95,0.718,9.673,-4.326,-1.463,27.988,-4.939
10,-0.543,10.527,-3.397,-4.39,17.134,1.402
10.05,-0.417,11.401,-4.032,-3.598,0.183,1.28
10.1,0.958,9.175,-3.644,-4.207,-9.573,-11.22
10.15,0.041,9.855,-3.555,-6.829,10.366,-5.183
10.2,1.274,11.076,-3.572,-1.585,2.683,-5.305
10.25,-0.251,9.641,-3.819,-7.866,7.073,-12.073
10.3,0.366,10.094,-3.701,-12.988,-1.951,-3.171
10.35,0.196,9.498,-2.914,-11.159,3.72,-4.634
10.4,-0.194,9.519,-2.658,-8.841,2.378,-4.695
10.45,0.381,9.704,-2.717,-0.183,1.463,-9.268
10.5,0.898,9.749,-2.777,2.683,1.951,-7.073
10.55,1.058,9.527,-2.665,4.878,15.488,-7.561
10.6,1.192,8.971,-3.278,4.878,-0.732,-3.902
10.65,0.876,10.898,-3.175,-2.927,-8.78,-7.988
10.7,-0.359,9.371,-2.677,-1.524,-3.841,-6.524
10.75,-0.115,10.092,-3.12,-15.305,-4.451,-8.902
10.8,0.737,10.324,-3.278,3.049,-1.402,-2.5
10.85,0.405,7.843,-1.99,6.768,-1.159,-2.927
10.9,-0.424,8.001,-3.685,2.195,-4.39,-2.317
10.95,-0.917,9.553,-3.467,5.244,-10.061,3.963
11,-1.635,9.732,-3.053,2.927,-13.293,4.512
11.05,-0.522,9.333,-2.897,10.854,-16.341,9.085
11.1,0.225,10.937,-3.057,3.049,-3.232,7.378
11.15,-0.321,9.457,-3.345,8.354,-6.524,5.183
11.2,0.939,10.099,-3.033,3.72,-1.768,7.073
11.25,0.927,9.328,-3.27,1.646,3.476,-2.012
11.3,1.073,9.802,-3.673,-1.402,1.646,-5
11.35,0.103,9.687,-3.287,-3.171,-0.122,-2.378
11.4,0.342,10.262,-3.199,-4.634,-2.317,-5
11.45,-0.247,9.787,-3.132,-1.463,-2.988,0.854
11.5,0.268,10.072,-3.144,3.171,-3.171,0.061
11.55,0.558,10.637,-3.426,2.927,2.073,-2.622
11.6,0.354,10.053,-3.637,2.683,-0.793,-3.659
11.65,0.45,9.919,-3.225,-0.183,-1.159,-2.439
11.7,0.067,10.084,-3.723,0.488,1.707,-1.585
11.75,0.105,10.147,-3.498,-15.488,0.671,-2.927
11.8,0.235,9.9,-3.498,1.646,-0.915,-4.512
11.85,-0.122,10.053,-3.237,2.927,-3.902,15.549
11.9,0.567,9.452,-3.371,7.012,-4.024,-2.744
11.95,0.378,10.242,-3.61,5.915,0.671,-2.866
12,0.081,9.699,-4.113,0.793,-1.402,-0.671
12.05,0.208,10.001,-3.536,-3.537,1.646,-2.866
12.1,0.024,9.701,-3.232,-2.744,2.927,-3.841
12.15,0.402,10.312,-3.615,1.402,1.768,-3.415
12.2,0.247,9.898,-3.622,0.793,-2.439,-4.634
12.25,1.056,9.783,-3.601,-4.268,2.317,-6.341
12.3,0.081,9.713,-3.632,-6.585,3.11,-0.732
12.35,0.462,9.572,-2.964,-5.671,1.341,-6.037
12.4,0.079,8.205,-3.1,9.085,8.232,-13.598
12.45,-0.172,9.115,-3.321,24.634,0.427,-9.939
12.5,0.153,10.573,-3.634,23.049,1.585,-10.549
12.55,0.01,9.194,-4.207,17.317,0.427,-7.683
12.6,-0.117,10.563,-4.413,4.024,10.549,-10.183
12.65,-0.637,8.253,-4.604,15.183,8.841,-5.305
12.7,0.469,9.594,-3.551,-6.341,-0.183,-12.012
12.75,-0.857,9.5,-3.757,0.549,3.659,-14.085
12.8,-0.773,9.258,-3.34,4.024,0.366,-14.207
12.85,-0.9,9.811,-3.62,2.439,-1.159,-8.11
12.9,-0.905,11.241,-3.728,3.232,2.805,1.341
