Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
5.2,0.814,9.883,-1.319,-21.524,-31.22,-5.305
5.25,0.797,10.76,-0.85,-22.561,-15.0,-7.561
5.3,0.692,10.415,-1.164,-22.561,-14.756,-12.622
5.35,1.094,9.742,-0.508,-27.561,-11.341,-15.061
5.4,0.182,10.068,-0.165,-27.5,-9.085,-10.0
5.45,0.618,10.408,0.072,-21.707,-9.756,-17.927
5.5,0.596,9.11,0.857,1.341,-11.22,-21.646
5.55,-0.407,10.235,0.354,14.878,4.39,-5.976
5.6,-0.903,9.814,-0.17,13.537,5.183,-0.305
5.65,0.804,10.475,-0.546,2.683,1.22,4.451
5.7,0.651,9.503,0.014,5.854,4.634,2.561
5.75,0.005,9.974,0.472,22.866,5.305,-3.232
5.8,0.204,10.348,-0.673,35.366,-0.61,-7.988
5.85,-0.132,9.898,-1.293,32.439,0.854,-9.817
5.9,-0.666,10.144,-1.319,25.61,4.268,-7.378
5.95,-1.001,10.448,-1.566,13.537,5.0,-1.098
6.0,-0.934,9.754,-0.946,16.463,4.878,-1.037
6.05,-0.534,9.934,-1.87,15.61,1.707,0.61
6.1,-0.235,9.977,-2.172,8.171,3.78,-2.5
6.15,0.029,11.181,-1.865,1.402,6.22,2.256
6.2,0.737,10.364,-1.609,5.793,7.622,-0.305
6.25,0.314,10.444,-2.1,2.439,5.61,-0.488
6.3,0.998,10.654,-1.702,4.695,11.585,-10.732
6.35,0.431,11.111,-1.671,11.341,9.878,-8.049
6.4,1.214,10.271,-2.416,9.329,9.817,-17.683
6.45,0.706,10.901,-2.392,-3.598,11.524,-7.378
6.5,-0.821,10.058,-1.999,-4.39,-3.415,-5.793
6.55,0.333,9.476,-2.088,1.524,5.0,-2.195
6.6,0.493,9.122,-2.164,8.415,13.171,1.037
6.65,-0.012,10.587,-2.011,4.756,24.817,2.378
6.7,0.34,10.455,-2.306,4.329,21.829,1.829
6.75,-0.151,10.132,-2.887,-6.402,17.866,-3.049
6.8,-0.113,10.472,-2.725,-11.89,20.671,-0.793
6.85,0.12,9.347,-1.573,-10.549,20.854,0.427
6.9,-0.041,10.508,-1.535,-5.244,13.72,-3.902
6.95,0.409,10.671,-1.446,-0.671,0.915,-2.622
7.0,-0.378,10.623,-2.294,-5.0,18.171,-1.707
7.05,-0.299,9.56,-1.824,-1.768,16.89,-1.89
7.1,0.565,11.483,-1.372,-0.305,13.171,-2.073
7.15,0.702,8.566,-2.16,0.793,15.915,-3.049
