Time,BODY_LSHO,BODY_LUPA,BODY_LELB,BODY_LHAN,BODY_RSHO,BODY_RUPA,BODY_RELB,BODY_RHAN,BODY_LHIP,BODY_LTHI,BODY_LKNE,BODY_LSHI,BODY_LANK,BODY_RHIP,BODY_RTHI,BODY_RKNE,BODY_RSHI,BODY_RANK,HEAD_UD,HEAD_LR
750,377,464,867,498,591,428,184,499,486,594,453,99,469,485,404,560,887,481,1500,1500
750,402,647,763,498,592,366,184,499,486,584,452,101,471,486,414,546,886,483,1500,1500
750,456,808,610,497,569,218,368,499,486,583,453,101,471,483,414,546,886,482,1500,1500
750,459,811,611,498,569,220,368,499,486,584,448,173,478,470,412,537,830,483,1500,1500
750,457,797,609,498,573,227,365,499,487,583,448,167,476,471,410,538,834,485,1500,1500
750,456,797,612,498,573,225,364,499,485,377,449,56,475,469,586,392,962,485,1500,1500
750,455,785,611,498,572,225,365,499,485,308,584,58,476,488,673,342,961,484,1500,1500
750,458,785,610,498,574,225,364,499,486,360,583,394,472,488,672,342,753,485,1500,1500
750,457,786,610,498,585,227,366,499,725,471,583,396,424,232,592,342,753,484,1500,1500
750,458,786,610,498,581,225,365,499,853,607,518,381,424,119,428,349,754,484,1500,1500
750,293,835,611,498,760,178,365,499,865,672,464,381,423,119,429,539,584,484,1500,1500
750,280,834,611,498,760,178,365,499,891,849,939,142,662,132,366,539,585,483,1500,1500
750,281,834,611,497,760,170,364,499,892,849,938,141,714,246,366,538,585,342,1500,1500
750,281,834,611,498,760,169,364,499,930,764,939,138,734,392,367,538,583,317,1500,1500
750,337,833,611,498,760,168,364,499,930,762,938,142,734,391,197,262,610,268,1500,1500
750,337,833,611,498,760,169,364,499,682,800,942,139,584,425,164,263,608,295,1500,1500
750,337,833,610,498,760,170,365,499,643,781,942,143,581,549,201,106,773,479,1500,1500
750,337,834,610,498,760,170,364,499,650,840,898,242,624,528,278,41,917,504,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,776,571,498,305,220,425,499,513,608,511,384,504,501,383,479,613,500,1500,1500
750,337,776,571,498,652,220,425,499,513,610,509,382,504,501,381,482,615,500,1500,1500
750,337,776,571,498,652,220,425,499,511,705,703,289,505,501,311,282,736,500,1500,1500
750,337,776,571,498,652,220,425,499,512,724,940,109,505,500,261,43,884,500,1500,1500
750,337,776,571,498,652,220,425,499,513,653,940,34,504,500,344,43,960,500,1500,1500
750,337,776,571,498,652,220,425,499,507,785,926,185,494,491,184,63,795,499,1500,1500
750,336,776,571,498,652,220,425,499,509,781,826,238,515,496,181,171,709,499,1500,1500
750,337,776,571,498,652,220,425,499,505,803,667,440,498,489,195,304,584,499,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,776,571,498,305,220,425,499,513,608,511,384,504,501,383,479,613,500,1500,1500
750,337,776,571,498,652,220,425,499,513,610,509,382,504,501,381,482,615,500,1500,1500
750,337,776,571,498,652,220,425,499,511,705,703,289,505,501,311,282,736,500,1500,1500
750,337,776,571,498,652,220,425,499,512,724,940,109,505,500,261,43,884,500,1500,1500
750,337,776,571,498,652,220,425,499,513,653,940,34,504,500,344,43,960,500,1500,1500
750,337,776,571,498,652,220,425,499,507,785,926,185,494,491,184,63,795,499,1500,1500
750,336,776,571,498,652,220,425,499,509,781,826,238,515,496,181,171,709,499,1500,1500
750,337,776,571,498,652,220,425,499,505,803,667,440,498,489,195,304,584,499,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,776,571,498,305,220,425,499,513,608,511,384,504,501,383,479,613,500,1500,1500
750,337,776,571,498,652,220,425,499,513,610,509,382,504,501,381,482,615,500,1500,1500
750,337,776,571,498,652,220,425,499,511,705,703,289,505,501,311,282,736,500,1500,1500
750,337,776,571,498,652,220,425,499,512,724,940,109,505,500,261,43,884,500,1500,1500
750,337,776,571,498,652,220,425,499,513,653,940,34,504,500,344,43,960,500,1500,1500
750,337,776,571,498,652,220,425,499,507,785,926,185,494,491,184,63,795,499,1500,1500
750,336,776,571,498,652,220,425,499,509,781,826,238,515,496,181,171,709,499,1500,1500
750,337,776,571,498,652,220,425,499,505,803,667,440,498,489,195,304,584,499,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,776,571,498,305,220,425,499,513,608,511,384,504,501,383,479,613,500,1500,1500
750,337,776,571,498,652,220,425,499,513,610,509,382,504,501,381,482,615,500,1500,1500
750,337,776,571,498,652,220,425,499,511,705,703,289,505,501,311,282,736,500,1500,1500
750,337,776,571,498,652,220,425,499,512,724,940,109,505,500,261,43,884,500,1500,1500
750,337,776,571,498,652,220,425,499,513,653,940,34,504,500,344,43,960,500,1500,1500
750,337,776,571,498,652,220,425,499,507,785,926,185,494,491,184,63,795,499,1500,1500
750,336,776,571,498,652,220,425,499,509,781,826,238,515,496,181,171,709,499,1500,1500
750,337,776,571,498,652,220,425,499,505,803,667,440,498,489,195,304,584,499,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,691,776,571,498,305,220,425,499,513,608,511,384,504,501,383,479,613,500,1500,1500
750,337,776,571,498,652,220,425,499,513,610,509,382,504,501,381,482,615,500,1500,1500
750,337,776,571,498,652,220,425,499,511,705,703,289,505,501,311,282,736,500,1500,1500
750,337,776,571,498,652,220,425,499,512,724,940,109,505,500,261,43,884,500,1500,1500
750,337,776,571,498,652,220,425,499,513,653,940,34,504,500,344,43,960,500,1500,1500
750,337,776,571,498,652,220,425,499,507,785,926,185,494,491,184,63,795,499,1500,1500
750,336,776,571,498,652,220,425,499,509,781,826,238,515,496,181,171,709,499,1500,1500
750,337,776,571,498,652,220,425,499,505,803,667,440,498,489,195,304,584,499,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
750,689,778,574,498,310,216,420,499,508,578,516,395,499,498,422,478,605,501,1500,1500
750,689,778,573,498,309,216,420,499,507,637,549,396,499,496,365,439,608,501,1500,1500
750,689,779,574,498,311,216,419,499,515,850,853,251,500,497,146,126,751,501,1500,1500
750,969,778,573,498,49,218,419,499,516,849,941,254,499,497,148,43,752,502,1500,1500
